S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021007,Braidwood
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021008,Karabar
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021009,Queanbeyan
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021010,Queanbeyan - East
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021012,Queanbeyan West - Jerrabomberra
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021610,Googong
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021611,Queanbeyan Surrounds
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031013,Bombala
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031014,Cooma
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031015,Cooma Surrounds
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031016,Jindabyne - Berridale
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041017,Batemans Bay
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041018,Batemans Bay - South
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041019,Bega - Tathra
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041020,Bega-Eden Hinterland
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041021,Broulee - Tomakin
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041022,Deua - Wadbilliga
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041023,Eden
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041024,Eurobodalla Hinterland
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041025,Merimbula - Tura Beach
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041026,Moruya - Tuross Head
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041027,Narooma - Bermagui
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,101051539,Goulburn
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,101051540,Goulburn Surrounds
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061541,Yass
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061542,Yass Surrounds
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061543,Young
